iter	Passed	Remaining
658	76487	39578
659	76591	39456
660	76706	39339
661	76823	39223
662	76944	39110
663	77061	38994
664	77171	38875
665	77282	38757
666	77389	38636
667	77503	38519
668	77606	38397
669	77723	38281
670	77856	38174
671	77984	38063
672	672	78082	37673	673	78197	37674	674	78312	37675	675	78440	37676	676	78558	37677	677	78683	37678	678	78814	37679	679	78930	37680	680	79060	37681	681	79171	36682	682	79293	36683	683	79415	36684	684	79547	36685	685	79674	36686	686	79794	36687	687	79904	36688	688	80017	36689	689	80129	36690	690	80248	35691	691	80364	35692	692	80474	35693	693	80583	35694	694	80696	35695	695	80810	35696	696	80920	35697	697	81035	35698	698	81158	34699	699	81273	34700	700	81374	34701	701	81498	34702	702	81624	34703	703	81741	34704	704	81848	34705	705	81968	34706	706	82085	34707	707	82226	33708	708	82377	33709	709	82501	33710	710	82616	33711	711	82724	33712	712	82840	33713	713	82970	33714	714	83088	33715	715	83208	33716	716	83369	32717	717	83513	32800
718	83643	32689
719	83766	32575
720	83879	32458
721	84003	32344
722	84172	32248
723	84290	32132
724	84408	32017
725	84522	31899
726	84636	31782
727	84760	31668
728	84882	31554
729	84999	31438
730	85115	31321
731	85232	31205
732	85351	31089
733	85459	30970
734	85577	30854
735	85689	30736
736	85795	30616
737	85912	30500
738	86044	30389
739	86158	30271
740	86273	30154
741	86400	30042
742	86524	29928
743	86647	29814
744	86775	29701
745	86900	29588
746	87013	29470
747	87136	29356
748	87253	29239
749	87374	29124
750	87483	29005
751	87599	28889
752	87721	28774
753	87838	28658
754	87960	28543
755	88097	28433
756	88226	28321
757	88355	28208
758	88473	28092
759	88596	27977
760	88731	27867
761	88857	27753
762	88977	27637
763	89085	27518
764	89199	27401
765	89307	27281
766	89420	27164
767	89532	27046
768	89650	26930
769	89772	26815
770	89891	26699
771	89996	26579
772	90111	26462
773	90209	26340
774	90337	26226
775	90462	26112
776	90644	26015
777	90774	25902
778	90912	25791
779	91043	25678
780	91168	25564
781	91295	25450
782	91422	25336
783	91547	25222
784	91654	25102
785	91790	24991
786	91901	24872
787	92021	24757
788	92145	24789	789	92259	24524
790	92383	24409
791	92521	24298
792	92642	24182
793	92755	24064
794	92869	23947
795	92985	23830
796	93098	23712
797	93212	23595
798	93325	23477
799	93432	23358
800	93538	23238
801	93654	23121
802	93776	23006
803	93904	22892
804	94026	22776
805	94149	22661
806	94269	22545
807	94385	22428
808	94507	22312
809	94630	22197
810	94755	22082
811	94869	21964
812	94979	21846
813	95089	21727
814	95200	21609
815	95308	21491
816	95445	21378
817	95545	21258
818	95651	21139
819	95776	21024
820	95914	20912
821	96019	20792
822	96130	20674
823	96249	20558
824	96373	20442
825	96485	20325
826	96586	20204
827	96709	20089
828	96827	19972
829	96934	19854
830	97055	19738
831	97177	19622
832	97295	19505
833	97419	19390
834	97525	19271
835	97635	19153
836	97752	19036
837	97871	18920
838	97990	18803
839	98113	18688
840	98238	18572
841	98357	18842	842	98474	18843	843	98591	18844	844	98696	18845	845	98815	17846	846	98935	17847	847	99039	17848	848	99158	17849	849	99272	17850	850	99385	17851	851	99486	17852	852	99596	17853	853	99707	17854	854	99809	16855	855	99920	16856	856	100059	16857	857	100188	16858	858	100345	16859	859	100475	16860	860	100587	16861	861	100698	16862	862	100813	16863	863	100929	15864	864	101037	15865	865	101143	15866	866	101252	15867	867	101365	15868	868	101475	15869	869	101587	15870	870	101702	15871	871	101803	14872	872	101914	14873	873	102015	14874	874	102127	14875	875	102230	14876	876	102333	14877	877	102456	14878	878	102570	14879	879	102703	14880	880	102822	13881	102985	13778
882	103110	13662
883	103228	13545
884	103370	13432
885	103482	13314
886	103592	13197
887	103708	13080
888	103817	12962
889	103930	12845
890	104043	12728
891	104157	12611
892	104268	12493
893	104379	12376
894	104491	12258
895	104596	12140
896	104706	12023
897	104812	11905
898	104919	11787
899	105032	11670
900	105137	11552
901	105243	11434
902	105339	11315
903	105441	11197
904	105551	11079
905	105653	10961
906	105753	10843
907	105855	10725
908	105957	10607
909	106056	10489
910	106162	10371
911	106271	10254
912	106377	10136
913	106474	10018
914	106593	9902
915	915	106668	9916	916	106774	9917	917	106880	9918	918	107001	9919	919	107107	9920	920	107214	9921	921	107317	9922	922	107420	8923	923	107533	8924	924	107628	8925	925	107726	8926	926	107829	8927	927	107930	8928	928	108039	8929	929	108145	8930	930	108258	8931	931	108363	7932	932	108469	7933	933	108581	7934	934	108690	7935	935	108791	7936	936	108893	7937	937	108999	7938	938	109099	7939	939	109207	6940	940	109312	6941	941	109429	6942	942	109532	6943	943	109628	6944	944	109737	6945	945	109844	6946	946	109947	6947	947	110050	6948	948	110156	5949	949	110250	5950	950	110350	5951	951	110452	5952	952	110563	5953	953	110655	5954	954	110770	5955	955	110870	5956	956	110968	4957	957	111080	4958	958	111183	4959	959	111296	4960	960	111392	4961	961	111496	4962	962	111603	4963	963	111707	4964	964	111811	4965	965	111907	3966	966	111998	3967	967	112097	3968	968	112194	3969	969	112297	3970	970	112397	3971	971	112507	3972	972	112624	3973	973	112725	3974	974	112830	2975	975	112946	2976	976	113046	2977	977	113146	2978	978	113272	2979	979	113392	2980	980	113509	2981	981	113623	2982	982	113750	1967
983	113866	1851
984	113978	1735
985	114084	1619
986	114192	1504
987	114296	1388
988	114406	1272
989	114516	1156
990	114614	1040
991	114714	925
992	114835	809
993	114929	693
994	115022	578
995	115126	462
996	115235	346
997	115317	231
998	115399	115
999	115501	0
